Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	1.negative	1.negative	1.negative	1.negative	1.negative	4.severe	4.severe	4.severe	4.severe	4.severe
k__Bacteria;p__Acidobacteria	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Actinobacteria	55.0	609.5	1623.0	3645.25	20572.0	1.0	222.25	1511.0	5253.75	42230.0
k__Bacteria;p__Bacteroidetes	1.0	6790.5	9487.5	16416.75	51804.0	37.0	1195.25	3982.0	5702.5	36225.0
k__Bacteria;p__Chlorobi	1.0	1.0	1.0	1.0	11.0	1.0	1.0	16.5	31.25	74.0
k__Bacteria;p__Chloroflexi	1.0	1.0	1.0	1.0	18.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Cyanobacteria	1.0	1.0	1.0	9.0	3106.0	1.0	1.0	1.0	1.0	1541.0
k__Bacteria;p__Firmicutes	2450.0	8206.75	12285.0	18818.5	89088.0	38.0	6090.25	13113.0	19341.5	85810.0
k__Bacteria;p__Fusobacteria	1.0	1519.5	4417.5	5796.5	21048.0	1.0	1.0	1.0	11.25	2451.0
k__Bacteria;p__Gemmatimonadetes	1.0	1.0	1.0	1.0	19.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Planctomycetes	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Proteobacteria	18.0	5180.0	8294.0	13627.25	26062.0	789.0	10708.25	14582.5	18305.0	47176.0
k__Bacteria;p__SR1	1.0	1.0	1.0	68.5	354.0	1.0	1.0	1.0	1.0	7.0
k__Bacteria;p__Spirochaetes	1.0	1.75	18.0	109.75	399.0	1.0	1.0	1.0	1.0	14.0
k__Bacteria;p__Synergistetes	1.0	1.0	1.0	1.0	17.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__TM7	1.0	276.25	462.0	1147.0	6250.0	1.0	1.0	1.0	1.5	334.0
k__Bacteria;p__Tenericutes	1.0	1.0	19.0	109.0	456.0	1.0	1.0	1.0	1.0	16.0
k__Bacteria;p__[Thermi]	1.0	1.0	1.0	1.0	242.0	1.0	1.0	1.0	1.0	26.0
